case_id,original_urgency_label,reviewer_approved_label,reviewer_name_or_id,review_date,reviewer_notes,approval_status
CHALLENGE-001,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-002,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-003,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-004,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-005,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-006,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-007,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-008,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-009,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-010,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-011,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-012,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-013,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-014,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-015,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-016,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-017,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-018,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-019,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-020,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-021,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-022,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-023,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-024,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-025,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-026,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-027,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-028,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-029,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-030,RED,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-031,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-032,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-033,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-034,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-035,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-036,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-037,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-038,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-039,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-040,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-041,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-042,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-043,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-044,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-045,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-046,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-047,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-048,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-049,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-050,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-051,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-052,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-053,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-054,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-055,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-056,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-057,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-058,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-059,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-060,YELLOW,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-061,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-062,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-063,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-064,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-065,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-066,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-067,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-068,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-069,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-070,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-071,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-072,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
CHALLENGE-073,GREEN,,,,,PENDING_QUALIFIED_MEDICAL_REVIEW
